"","Date","Time","Receipt.number","Name","Variant","Unit","Quantity","Price..GBP.","Discount..GBP.","Final.price..GBP."
"219",2017-08-02,2017-08-20 16:05:00,7491,"Wrap TA","Chicken",NA,1,3.5,0,3.5
"220",2017-08-02,2017-08-20 16:06:00,7492,"Acqua San Pellegrino","",NA,2,3,0,3
"221",2017-08-02,2017-08-20 16:06:00,7492,"Tea","",NA,1,2.5,0,2.5
"222",2017-08-02,2017-08-20 16:17:00,7493,"Cappuccino","",NA,1,2.7,0,2.7
"223",2017-08-02,2017-08-20 16:27:00,7494,"Breakfast Bun TA","Take Away",NA,1,4.7,0,4.7
"224",2017-08-02,2017-08-20 16:27:00,7494,"Wrap TA","Falafel",NA,1,3.5,0,3.5
"225",2017-08-02,2017-08-20 16:27:00,7494,"Espresso","",NA,4,8,0,8
"226",2017-08-03,2017-08-20 06:35:00,7495,"Cappuccino","",NA,1,2.7,0,2.7
"227",2017-08-03,2017-08-20 06:42:00,7496,"Americano","",NA,1,2.5,0,2.5
"228",2017-08-03,2017-08-20 06:48:00,7497,"Cappuccino","",NA,2,5.4,0,5.4
"229",2017-08-03,2017-08-20 06:48:00,7497,"Almond Croissant TA","Take Away",NA,1,2,0,2
"230",2017-08-03,2017-08-20 06:55:00,7498,"Latte","",NA,1,2.9,0,2.9
"231",2017-08-03,2017-08-20 07:06:00,7499,"Flat White","",NA,1,2.7,0,2.7
"232",2017-08-03,2017-08-20 07:06:00,7499,"Milk Alternatives","Soy",NA,1,0.5,0,0.5
"233",2017-08-03,2017-08-20 07:08:00,7500,"Flat White","",NA,1,2.7,0,2.7
"234",2017-08-03,2017-08-20 07:13:00,7501,"Macchiato","",NA,1,2.2,0,2.2
"235",2017-08-03,2017-08-20 07:16:00,7502,"Latte","",NA,1,2.9,0,2.9
"236",2017-08-03,2017-08-20 07:16:00,7502,"Milk Alternatives","Soy",NA,1,0.5,0,0.5
"237",2017-08-03,2017-08-20 07:18:00,7503,"Mocha","",NA,1,3.1,0,3.1
"238",2017-08-03,2017-08-20 07:25:00,7504,"Latte","",NA,1,2.9,0,2.9
"239",2017-08-03,2017-08-20 07:25:00,7504,"Flat White","",NA,1,2.7,0,2.7
"240",2017-08-03,2017-08-20 07:28:00,7505,"Latte","",NA,1,2.9,0,2.9
"241",2017-08-03,2017-08-20 07:45:00,7506,"Cappuccino","",NA,1,2.7,0,2.7
"242",2017-08-03,2017-08-20 07:45:00,7506,"Almond Croissant TA","Take Away",NA,1,2,0,2
"243",2017-08-03,2017-08-20 07:46:00,7507,"Cappuccino","",NA,1,2.7,0,2.7
"244",2017-08-03,2017-08-20 07:49:00,7508,"Americano","",NA,1,2.5,0,2.5
"245",2017-08-03,2017-08-20 07:49:00,7509,"Cappuccino","",NA,1,2.7,0,2.7
"246",2017-08-03,2017-08-20 07:49:00,7510,"Espresso","",NA,1,2,0,2
"247",2017-08-03,2017-08-20 07:52:00,7511,"Flat White","",NA,1,2.7,0,2.7
"248",2017-08-03,2017-08-20 07:58:00,7512,"Espresso","",NA,1,2,0,2
"249",2017-08-03,2017-08-20 07:58:00,7512,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"250",2017-08-03,2017-08-20 07:58:00,7512,"Toast","Cheese",NA,1,4,0,4
"251",2017-08-03,2017-08-20 08:04:00,7513,"Cappuccino","",NA,1,2.7,0,2.7
"252",2017-08-03,2017-08-20 08:05:00,7514,"Flat White","",NA,1,2.7,0,2.7
"253",2017-08-03,2017-08-20 08:06:00,7515,"Latte","",NA,1,2.9,0,2.9
"254",2017-08-03,2017-08-20 08:06:00,7515,"Croissant Filled IN","",NA,1,3,0,3
"255",2017-08-03,2017-08-20 08:08:00,7516,"Flat White","",NA,1,2.7,0,2.7
"256",2017-08-03,2017-08-20 08:10:00,7517,"Latte","",NA,1,2.9,0,2.9
"257",2017-08-03,2017-08-20 08:10:00,7517,"Milk Alternatives","Almond",NA,1,0.5,0,0.5
"258",2017-08-03,2017-08-20 08:11:00,7518,"Cappuccino","",NA,1,2.7,0,2.7
"259",2017-08-03,2017-08-20 08:13:00,7519,"Flat White","",NA,1,2.7,0,2.7
"260",2017-08-03,2017-08-20 08:14:00,7520,"Flat White","",NA,1,2.7,0,2.7
"261",2017-08-03,2017-08-20 08:14:00,7521,"Espresso","",NA,1,2,0,2
"262",2017-08-03,2017-08-20 08:14:00,7521,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"263",2017-08-03,2017-08-20 08:31:00,7522,"Latte","",NA,1,2.9,0,2.9
"264",2017-08-03,2017-08-20 08:31:00,7522,"Milk Alternatives","Coconut",NA,1,0.5,0,0.5
"265",2017-08-03,2017-08-20 08:35:00,7523,"Flat White","",NA,1,2.7,0,2.7
"266",2017-08-03,2017-08-20 08:35:00,7523,"Cappuccino","",NA,1,2.7,0,2.7
"267",2017-08-03,2017-08-20 08:35:00,7523,"Latte","",NA,1,2.9,0,2.9
"268",2017-08-03,2017-08-20 08:35:00,7524,"Americano","",NA,1,2.5,0,2.5
"269",2017-08-03,2017-08-20 08:37:00,7525,"Flat White","",NA,1,2.7,0,2.7
"270",2017-08-03,2017-08-20 08:45:00,7526,"Iced Coffee TA","Americano",NA,1,2.7,0,2.7
"271",2017-08-03,2017-08-20 08:46:00,7527,"Flat White","",NA,1,2.7,0,2.7
"272",2017-08-03,2017-08-20 08:47:00,7528,"Espresso","",NA,1,2,0.3,1.7
"273",2017-08-03,2017-08-20 08:50:00,7529,"Latte","",NA,1,2.9,0,2.9
"274",2017-08-03,2017-08-20 08:50:00,7529,"Pain Au Choc TA","Take Away",NA,1,2,0,2
